event_id,date_of_event,country,Place,Orchestra,program,conductor
20,1917-07-12,Switzerland,St. Gallen,Vienna Philharmonic,Berl 24,Felix von Weingartner
20,1917-07-12,Switzerland,St. Gallen,Vienna Philharmonic,Bra 68,Felix von Weingartner
21,1918-06-24,Germany,Berlin,Vienna Philharmonic,Gold 13,Felix von Weingartner
21,1918-06-24,Germany,Berlin,Vienna Philharmonic,Moz 551,Felix von Weingartner
21,1918-06-24,Germany,Berlin,Vienna Philharmonic,Str 24,Felix von Weingartner
21,1918-06-24,Germany,Berlin,Vienna Philharmonic,Web Ob,Felix von Weingartner
21,1918-06-24,Germany,Berlin,Vienna Philharmonic,Weingartner 57,Felix von Weingartner
22,1918-06-25,Germany,Berlin,Vienna Philharmonic,Bee 72b,Felix von Weingartner
22,1918-06-25,Germany,Berlin,Vienna Philharmonic,Bra 73,Felix von Weingartner
22,1918-06-25,Germany,Berlin,Vienna Philharmonic,Schb 759,Felix von Weingartner
23,1918-06-26,Germany,Berlin,Vienna Philharmonic,Bee 125,Felix von Weingartner
23,1918-06-26,Germany,Berlin,Vienna Philharmonic,Lis Préludes,Felix von Weingartner
23,1918-06-26,Germany,Berlin,Vienna Philharmonic,Wag Kaisermarsch,Felix von Weingartner
24,1918-06-27,Germany,Berlin,Vienna Philharmonic,Bee 125,Felix von Weingartner
24,1918-06-27,Germany,Berlin,Vienna Philharmonic,Lis Préludes,Felix von Weingartner
24,1918-06-27,Germany,Berlin,Vienna Philharmonic,Wag Kaisermarsch,Felix von Weingartner
25,1921-01-06,Czechoslovakia,Bratislava,Vienna Philharmonic,Bee 72b,Franz Schalk
25,1921-01-06,Czechoslovakia,Bratislava,Vienna Philharmonic,Bee 93,Franz Schalk
25,1921-01-06,Czechoslovakia,Bratislava,Vienna Philharmonic,Wag 90/1,Franz Schalk
25,1921-01-06,Czechoslovakia,Bratislava,Vienna Philharmonic,Wag 96/1,Franz Schalk
